Country_code_9_digit,Country_code,Country_name,Region_code_9_digit,Region_code,Region_name,LAD_code_9_digit,LAD_code,LAD_name,IDACI_decile,Rurality,A1A4den_15,KS4_LEVEL2_15,KS4_LEVEL2_EM_15,KS4_LEVEL1_15,KS4_LEVEL1_EM_15,KS4_L2BASICS_15,KS4_EBACC_E_15,KS4_EBACC_15,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,40-50%,Rural,620,398,340,584,577,356,230,152,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,50-60%,Urban,4284,2944,2542,4090,3990,2639,1599,1006,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,50-60%,Rural,1207,837,737,1147,1132,758,477,318,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,60-70%,Urban,3851,2839,2481,3723,3655,2554,1554,1035,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,60-70%,Rural,1419,1023,900,1364,1346,931,625,391,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,70-80%,Urban,3617,x,2432,x,x,2492,x,x,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,70-80%,Rural,1540,x,1069,x,x,1087,x,x,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,80-90%,Urban,3684,2906,2572,x,3535,2635,1729,1189,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,80-90%,Rural,1590,1226,1096,x,1516,1119,740,515,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,90-100% least deprived,Urban,3799,3202,2900,3721,3694,2938,1946,1440,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,90-100% least deprived,Rural,1001,786,705,974,964,709,469,334,,,,
E92000001,921,England,E12000006,G,East,,,,,,62266,41463,36145,58951,57562,37583,24038,15181,,,,
E92000001,921,England,E12000006,G,East,,,,0-10% most deprived,,2616,1164,947,2316,2196,1025,593,261,,,,
